product-name,url,description
Thomas Scott Men's Smart Slim Fit Band Collar Pure Cotton Denim Casual Overdyed Shirt,https://m.media-amazon.com/images/I/61a9DdTG-sL._SY741_.jpg,"Labels: 'Jeans', 'Shirt', 'Arm', 'Shoulder', 'Dress shirt', 'Dress', 'Jersey', 'Human body', 'Neck', 'Sleeve', Texts: 'Keep your head mo', 'Keep', 'your', 'head', 'mo', Logos: , Objects: 'Top', 'Person', 'Person', 'Shirt', 'Jeans'"
Lymio Men T-Shirt,https://m.media-amazon.com/images/I/71x4rLhMkML._SY741_.jpg,"Labels: 'Joint', 'Outerwear', 'Shoulder', 'Muscle', 'Product', 'Stomach', 'Dress shirt', 'Neck', 'Sleeve', 'Standing', Texts: , Logos: , Objects: 'Watch', 'Top', 'Pants', 'Clothing'"
GRECIILOOKS Track Pant for Men,https://m.media-amazon.com/images/I/51rgGjt-lnL._SY741_.jpg,"Labels: 'Shoe', 'Active pants', 'Sleeve', 'Dress shirt', 'Waist', 'Gesture', 'Khaki pants', 'Collar', 'Thigh', 'Knee', Texts: , Logos: , Objects: 'Pants', 'Shoe', 'Shoe'"
U.S. Polo Assn. Men Signature Logo Pure Cotton,https://m.media-amazon.com/images/I/61fRzTKtwAL._SX569_.jpg,"Labels: 'Outerwear', 'White', 'Neck', 'Sleeve', 'Waist', 'Textile', 'Orange', 'Grey', 'Style', 'Knee', Texts: , Logos: 'U.S. Polo Assn.', 'U.S. Polo Assn.', Objects: 'Shorts', 'Person', 'Underpants'"
VIMAL JONNEY Men's Slim Track Pants,https://m.media-amazon.com/images/I/71aNV7oOkmL._SX679_.jpg,"Labels: 'Joint', 'Leg', 'Active pants', 'Neck', 'Sleeve', 'Waist', 'Knee', 'Thigh', 'Gesture', 'Grey', Texts: , Logos: , Objects: 'Pants', 'Pants', 'Pants', 'Person', 'Person', 'Person', 'Shoe', 'Shoe', 'Shoe'"
Fossil Decker Brown Watch,https://m.media-amazon.com/images/I/81DEF+TfCTL._SX679_.jpg,"Labels: 'Watch', 'Analog watch', 'Clock', 'Watch accessory', 'Font', 'Silver', 'Rectangle', 'Metal', 'Electric blue', 'Fashion accessory', Texts: '8-\nTACHYMETER\n100/\n95\n100\n血\nˊ\n500 450 400 350\nFOSSIL\n10 ATM\n18\n111\nI\n150 160 170\n105\n110 115 120\n130', '8-', 'TACHYMETER', '100', '/', '95', '100', '血', 'ˊ', '500', '450', '400', '350', 'FOSSIL', '10', 'ATM', '18', '111', 'I', '150', '160', '170', '105', '110', '115', '120', '130', Logos: , Objects: 'Watch'"
Fastrack Casual Analog White Dial Men's Watch,https://m.media-amazon.com/images/I/51Z3J7uzNfL._SX679_.jpg,"Labels: 'Watch', 'Analog watch', 'Watch accessory', 'Clock', 'Rectangle', 'Font', 'Metal', 'Brand', 'Fashion accessory', 'Steel', Texts: 'dtrack\n3', 'dtrack', '3', Logos: 'Fastrack', Objects: 'Watch'"
Sonata Men Leather Analog White Dial Watch,https://m.media-amazon.com/images/I/71QvcBxXXxL._SY741_.jpg,"Labels: 'Watch', 'Analog watch', 'White', 'Light', 'Product', 'Clock', 'Watch accessory', 'Rectangle', 'Font', 'Material property', Texts: '8\n12\n10\n11\nSONATA\n503537\n6\nLO\n5\n2\n4.\n3', '8', '12', '10', '11', 'SONATA', '503537', '6', 'LO', '5', '2', '4', '.', '3', Logos: , Objects: 'Watch'"
Casio Men Stainless Steel Analog Black Dial Watch,https://m.media-amazon.com/images/I/61hpIjX15vL._SX679_.jpg,"Labels: 'Watch', 'Analog watch', 'Clock', 'Watch accessory', 'Font', 'Silver', 'Metal', 'Fashion accessory', 'Nickel', 'Brand', Texts: ""40\n50\n60\nCASIO\nWATER RESIST\n50M\nJAPAN\nMOV'T\n30\n20\nיוסי"", '40', '50', '60', 'CASIO', 'WATER', 'RESIST', '50M', 'JAPAN', ""MOV'T"", '30', '20', 'יוסי', Logos: 'Casio', Objects: 'Watch'"
Titan Analog Silver Dial Gold Band Men's Stainless Steel Watch,https://m.media-amazon.com/images/I/81lfqanrciL._SY741_.jpg,"Labels: 'Watch', 'Analog watch', 'Clock', 'Font', 'Material property', 'Watch accessory', 'Rectangle', 'Silver', 'Metal', 'Fashion accessory', Texts: 'in\nn\n3\nTITAN\nか\nMIER 16\nD\n13\nn\n15\n9\n•\nn\n6\n3\nn\n""\n10\n6\n3\n13\n3\n3\nCIFTIR', 'in', 'n', '3', 'TITAN', 'か', 'MIER', '16', 'D', '13', 'n', '15', '9', '•', 'n', '6', '3', 'n', '""', '10', '6', '3', '13', '3', '3', 'CIFTIR', Logos: 'Titan Company', Objects: 'Watch'"
